idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,0,16.0,0,0,1.0,20
2,2,0,1,13.35,0,0,1.0,20
3,1,0,0,15.44,0,0,1.0,20
4,2,0,2,21.1,0,0,1.0,20
5,3,0,0,5.61,0,0,0,20
6,3,0,1,15.34,0,0,1.0,20
7,2,0,3,6.01,0,0,1.0,20
8,1,0,1,8.96,1,0,1.0,20
9,4,0,0,15.98,2,0,1.0,20
10,5,0,0,23.35,3,0,1.0,20
11,4,0,1,20.04,4,0,1.0,20
12,3,0,2,15.93,5,0,1.0,20
13,4,0,2,15.56,6,0,1.0,20
14,3,0,3,15.24,7,0,1.0,20
15,3,0,4,15.51,8,0,1.0,20
16,5,0,1,10.26,9,0,1.0,20
17,1,0,2,9.24,10,0,1.0,20
18,1,0,3,13.21,11,0,1.0,20
19,2,0,4,18.78,12,0,1.0,20
20,4,0,3,21.13,13,0,1.0,20
