idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,0,19.93,1,0,1.0,20
2,5,0,0,20.69,2,0,1.0,20
3,2,0,0,8.24,3,0,0,20
4,4,0,1,20.24,4,0,1.0,20
5,6,0,0,20.9,5,0,1.0,20
6,4,0,2,19.36,6,0,1.0,20
7,2,0,1,10.68,7,0,1.0,20
8,2,0,2,11.39,8,0,1.0,20
9,6,0,1,16.15,9,0,1.0,20
10,3,0,0,13.0,10,0,1.0,20
11,1,0,0,5.37,11,0,0,20
12,1,0,1,7.74,12,0,1.0,20
13,4,0,3,19.17,13,0,1.0,20
14,5,0,1,17.33,14,0,1.0,20
15,5,0,2,19.11,15,0,1.0,20
16,1,0,2,10.18,16,0,1.0,20
17,2,0,3,18.15,17,0,1.0,20
18,5,0,3,20.47,18,0,1.0,20
19,3,0,1,12.16,19,0,1.0,20
20,3,0,2,17.47,20,0,1.0,20
21,3,0,3,18.22,21,0,1.0,20
22,6,0,2,21.92,22,0,1.0,20
23,4,0,4,22.53,23,0,1.0,20
24,1,0,3,10.09,24,0,1.0,20
25,3,0,4,13.62,25,0,1.0,20
