idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,0,23.48,1,0,1.0,20
2,3,0,0,8.81,2,0,1.0,20
3,3,0,1,9.55,3,0,1.0,20
4,6,0,0,23.6,4,0,0,20
5,3,0,2,19.91,5,0,1.0,20
6,2,0,0,6.09,6,0,0,20
7,2,0,1,7.18,7,0,0,20
8,1,0,0,6.23,8,0,1.0,20
9,2,0,2,18.09,9,0,1.0,20
10,3,0,3,17.1,10,0,1.0,20
11,5,0,0,15.58,11,0,1.0,20
12,3,0,4,17.47,12,0,1.0,20
13,1,0,1,5.04,13,0,1.0,20
14,4,0,1,22.28,14,0,1.0,20
15,4,0,2,22.86,15,0,1.0,20
16,1,0,2,8.16,16,0,1.0,20
17,4,0,3,19.47,17,0,1.0,20
18,1,0,3,6.79,18,0,1.0,20
19,5,0,1,9.68,19,0,1.0,20
20,2,0,3,17.46,20,0,1.0,20
