idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,11.58,1,0,0,20
2,2,0,0,19.7,2,0,0,20
3,1,0,1,12.96,3,0,0,20
4,1,0,2,20.62,4,0,0,20
5,5,0,0,8.45,5,0,0,20
6,3,0,0,14.48,6,0,0,20
7,5,0,1,8.59,7,0,0,20
8,3,0,1,15.29,8,0,0,20
9,3,0,2,17.9,9,0,0,20
10,5,0,2,12.3,10,0,0,20
11,6,0,0,8.55,11,0,0,20
12,6,0,1,15.32,12,0,0,20
13,2,0,1,19.97,13,0,0,20
14,4,0,0,5.07,14,0,0,20
15,4,0,1,5.76,15,0,0,20
16,6,0,2,17.31,16,0,0,20
17,5,0,3,14.2,17,0,0,20
18,2,0,2,20.32,18,0,0,20
19,4,0,2,12.72,19,0,0,20
20,6,0,3,18.43,20,0,0,20
