idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,0,11.75,0,0,0,20
2,6,0,0,8.81,0,0,0,20
3,4,0,0,12.78,0,0,0,20
4,3,0,0,17.46,0,0,0,20
5,2,0,0,15.73,0,0,0,20
6,1,0,0,5.53,1,0,0,20
7,4,0,1,15.55,2,0,0,20
8,1,0,1,8.14,3,0,1.0,20
9,1,0,2,5.54,4,0,1.0,20
10,2,0,1,17.7,5,0,1.0,20
11,5,0,1,18.64,6,0,0,20
12,3,0,1,18.36,7,0,1.0,20
13,2,0,2,20.46,8,0,1.0,20
14,4,0,2,21.03,9,0,0,20
15,6,0,1,22.62,10,0,0,20
16,1,0,3,9.53,11,0,1.0,20
17,5,0,2,22.6,12,0,0,20
18,1,0,4,5.74,13,0,1.0,20
19,2,0,3,16.8,14,0,1.0,20
20,3,0,2,21.16,15,0,1.0,20
