idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,20.43,0,0,0,20
2,1,0,1,23.2,0,0,0,20
3,5,0,0,10.34,0,0,0,20
4,2,0,0,21.74,0,0,0,20
5,6,0,0,14.84,0,0,0,20
6,4,0,0,10.33,1,0,0,20
7,3,0,0,8.57,2,0,1.0,20
8,6,0,1,20.76,3,0,0,20
9,4,0,1,10.44,4,0,0,20
10,3,0,1,8.42,5,0,1.0,20
11,3,0,2,8.24,6,0,1.0,20
12,6,0,2,20.93,7,0,0,20
13,5,0,1,15.58,8,0,0,20
14,5,0,2,15.9,9,0,0,20
15,5,0,3,19.19,10,0,0,20
16,5,0,4,20.14,11,0,0,20
17,4,0,2,13.52,12,0,0,20
18,4,0,3,20.92,13,0,0,20
19,3,0,3,12.5,14,0,1.0,20
20,2,0,1,21.78,15,0,0,20
